column,missing_count,missing_pct,unique_values,top_5_values
hhid,0,0.0,653,10013: 1; 210260: 1; 207166: 1; 207282: 1; 207587: 1
year,0,0.0,12,1995: 261; 2006: 89; 2000: 70; 2002: 55; 1998: 50
age,0,0.0,51,61: 26; 58: 26; 57: 25; 62: 24; 64: 24
hhid_year,0,0.0,653,010013_2000: 1; 210260_1998: 1; 207166_1996: 1; 207282_2006: 1; 207587_1996: 1
gender,0,0.0,2,1: 354; 0: 299
edu_yrs,0,0.0,19,12.0: 197; 14.0: 64; 11.0: 43; 13.0: 41; 10.0: 41
has_db,0,0.0,2,1: 411; 0: 242
AD_MCI_status,0,0.0,2,0: 624; 1: 29
has_hibpe,0,0.0,3,-1.0: 542; 1.0: 98; 0.0: 13
ad_year,0,0.0,7,2006: 159; 2008: 109; 2012: 100; 2010: 90; 2018: 72
years_until_ad,0,0.0,18,11: 101; 10: 62; 8: 57; 4: 53; 6: 51
edu_level,0,0.0,6,3: 238; 4: 153; 2: 121; 1: 84; 0: 55
db_onset_after,0,0.0,15,0.0: 421; -1.0: 64; 2.0: 47; 1.0: 28; 3.0: 24
hibpe_onset_after,0,0.0,13,-1.0: 549; 19.0: 25; 8.0: 19; 14.0: 15; 2.0: 9
mci_onset_after,0,0.0,2,-1.0: 530; 0.0: 123
